#OTU ID	C002	C003	C007	C010	C011	C012	C018	C021	C024	C042	C048	C052	C054	K100	K105	K106	K108	K113	K119	K124	K125	K301	K304	K306	K309	K316	S010	S020	S030	S050	S080	S100	S110	S120	S130	S150	S180	S200	S210	S220	S240	S260	S280	S290	S320	S330	Y1	Y10	Y11	Y12	Y13	Y14	Y15	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9
C002_97903	6	3	36	24	18	4	1	10	0	50	5	2	1	0	14	14	6	20	10	50	0	5	2	11	16	13	27	0	31	7	14	8	9	15	2	18	3	11	0	1	3	0	8	13	10	0	13	2	0	9	19	5	3	25	8	7	7	23	15	24	1
C002_64773	25	1	0	15	15	43	0	1	0	22	19	2	11	0	6	10	4	1	13	0	0	0	2	0	0	0	18	1	23	1	4	13	57	17	33	0	0	37	0	8	13	0	7	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
C002_164489	6	3	0	0	1	0	1	0	0	0	0	0	0	0	1	0	8	0	0	0	0	5	0	0	0	0	0	1	0	0	2	0	0	1	0	0	5	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	1	0	0	0	0	0
C010_91111	4	2	16	31	2	19	4	0	0	5	3	1	0	0	1	6	2	4	13	15	16	10	2	3	1	10	5	12	16	6	12	7	3	14	8	18	6	46	3	16	11	13	4	6	26	15	2	1	0	15	30	1	3	0	6	2	1	2	1	45	1
C024_56191	16	3	15	25	0	19	0	0	1	19	0	0	5	2	0	0	0	1	0	8	0	0	0	3	3	0	1	12	3	0	0	2	67	0	0	0	0	0	1	0	60	0	8	0	0	0	1	0	1	0	1	0	2	1	0	1	0	0	0	0	0
C002_182034	8	1	0	2	5	7	1	0	0	0	6	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	5	0	0	0	0	0	0	2	0	0	13	0	0	4	0	0	2	0	0	0	0	2	0	6	2	0	3	1	1	3	0	0	0	0	2
C002_219686	9	0	0	0	12	0	0	0	0	0	0	0	0	0	7	0	0	7	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	8	0	38	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	6	0	0	0	0	0	0	0
C003_188231	4	30	0	12	6	0	0	26	13	0	0	24	0	0	11	24	3	24	0	61	29	1	23	54	101	0	8	0	0	1	9	31	0	3	3	26	0	0	0	0	0	21	0	0	0	29	38	24	0	8	20	68	35	26	0	1	22	19	30	6	0
C042_135045	49	0	3	0	0	98	0	1	0	13	1	0	0	0	12	0	53	0	41	0	0	1	15	0	0	0	3	1	0	0	0	4	538	111	0	0	1	34	1	1	0	0	82	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
C002_71891	15	11	12	2	813	320	2	27	566	222	596	3614	74	2	5	615	39	0	123	5	20	22	0	25	1936	311	558	456	2435	14	714	452	163	1879	5	15	6119	107	3	69	1	580	26	131	0	1780	3	0	145	0	0	0	35	8	88	36	69	46	8	4	1
C007_12059	2	0	85	0	74	4	2	0	0	0	0	5	28	0	0	0	9	0	13	2	36	2	0	0	1	242	0	32	143	272	88	4	7	43	0	1	88	17	0	50	48	0	114	14	6	100	0	20	33	1	5	0	0	0	6	5	1	1	2	1	0
C002_39401	3	0	12	4	1	33	5	5	2	7	2	1	6	0	1	3	0	1	7	7	0	6	0	0	5	4	0	2	31	8	5	2	12	8	0	7	0	15	135	2	1	0	1	4	0	0	1	0	0	4	4	0	2	2	1	1	2	1	30	1	0
K100_68069	6	0	29	9	0	2	3	0	0	0	2	0	9	5	0	0	1	1	0	0	0	7	1	0	0	0	0	2	0	0	1	0	7	2	0	14	1	22	0	30	7	0	11	1	0	1	0	2	0	6	1	1	8	1	27	1	0	5	1	0	0
C007_232243	6	7	87	0	8	0	13	38	17	5	47	26	0	101	16	163	118	27	97	99	184	0	144	1	0	27	19	21	1	1	47	0	0	1	0	5	38	0	13	1	5	45	10	6	29	46	49	55	0	0	6	155	0	25	85	19	43	37	83	9	12
C002_46826	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
Y11_63448	4	0	3	0	0	1	0	0	0	2	1	0	0	0	0	0	9	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	1	2	1	1	1	0	0	0	7	1	0	0	0	0	0
S100_134658	3	0	2	3	1	1	1	0	0	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	11	9	0	1	1	0	0	0	7	2	0	8	2	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0
S150_50541	1	0	0	0	0	3	1	2	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	1	1	1	0	0	0	9	0	1	0	0	0	0	0	0	0	0
C007_342444	11	2	56	51	4	33	124	1	0	2	6	3	4	0	0	2	8	3	7	6	0	5	2	26	21	16	0	0	2	7	16	0	2	6	100	28	27	3	0	67	27	3	10	0	1	58	9	1	1	22	6	0	7	0	7	0	0	4	2	16	6
